name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,brand,model,km_driven_bin
Nissan Terrano XV Premium 110 PS,2013,750000,80000,Diesel,Individual,Manual,First Owner,10,Nissan,Terrano XV Premium 110 PS,Medium
Maruti Baleno Alpha 1.3,2016,610000,100000,Diesel,Individual,Manual,First Owner,7,Maruti,Baleno Alpha 1.3,Medium
Nissan Sunny XV D Premium Leather,2015,450000,50000,Diesel,Individual,Manual,First Owner,8,Nissan,Sunny XV D Premium Leather,Low
Toyota Etios Liva GD,2012,409999,56000,Diesel,Individual,Manual,First Owner,11,Toyota,Etios Liva GD,Medium
Hyundai EON 1.0 Era Plus,2018,100000,21302,Petrol,Individual,Manual,First Owner,5,Hyundai,EON 1.0 Era Plus,Low
Hyundai i20 Active 1.4 SX,2016,650000,100000,Diesel,Individual,Manual,First Owner,7,Hyundai,i20 Active 1.4 SX,Medium
Mahindra TUV 300 T8,2017,650000,80000,Diesel,Individual,Manual,First Owner,6,Mahindra,TUV 300 T8,Medium
Hyundai Getz 1.3 GLS,2010,150000,105546,Petrol,Individual,Manual,First Owner,13,Hyundai,Getz 1.3 GLS,High
Toyota Etios Liva 1.2 V,2018,500000,10000,Petrol,Individual,Manual,First Owner,5,Toyota,Etios Liva 1.2 V,Low
Toyota Innova 2.5 GX 7 STR BSIV,2012,1000000,80000,Diesel,Individual,Manual,Second Owner,11,Toyota,Innova 2.5 GX 7 STR BSIV,Medium
Hyundai i20 Magna Optional 1.2,2013,340000,35000,Petrol,Individual,Manual,First Owner,10,Hyundai,i20 Magna Optional 1.2,Low
Hyundai Elite i20 Asta Option BSIV,2019,800000,11240,Petrol,Individual,Manual,First Owner,4,Hyundai,Elite i20 Asta Option BSIV,Low
Toyota Innova 2.5 G (Diesel) 8 Seater,2013,1010000,120000,Diesel,Individual,Manual,First Owner,10,Toyota,Innova 2.5 G (Diesel) 8 Seater,High
Toyota Etios GD,2011,350000,120000,Diesel,Individual,Manual,Third Owner,12,Toyota,Etios GD,High
Maruti Swift VDI BSIV,2016,595000,70000,Diesel,Individual,Manual,First Owner,7,Maruti,Swift VDI BSIV,Medium
Mahindra Scorpio VLX 2WD BSIV,2014,700000,130000,Diesel,Individual,Manual,Third Owner,9,Mahindra,Scorpio VLX 2WD BSIV,High
Renault KWID RXL,2019,265000,40000,Petrol,Individual,Manual,First Owner,4,Renault,KWID RXL,Low
Maruti Alto K10 VXI,2015,320000,60000,Petrol,Individual,Manual,Second Owner,8,Maruti,Alto K10 VXI,Medium
Honda City 1.5 S MT,2011,310000,110000,Petrol,Individual,Manual,First Owner,12,Honda,City 1.5 S MT,High
Honda City i DTEC VX,2014,700000,130000,Diesel,Individual,Manual,First Owner,9,Honda,City i DTEC VX,High
Maruti Alto LXi BSIII,2009,130000,80000,Petrol,Individual,Manual,Second Owner,14,Maruti,Alto LXi BSIII,Medium
Maruti Swift Dzire VDi,2009,150000,120000,Diesel,Individual,Manual,Second Owner,14,Maruti,Swift Dzire VDi,High
Honda Amaze E i-Dtech,2015,300000,104000,Diesel,Individual,Manual,Second Owner,8,Honda,Amaze E i-Dtech,High
Maruti Swift Dzire LXi,2011,150000,100000,Petrol,Individual,Manual,Second Owner,12,Maruti,Swift Dzire LXi,Medium
Honda City 1.3 EXI,2003,120000,132343,Petrol,Individual,Manual,Second Owner,20,Honda,City 1.3 EXI,High
Hyundai Creta 1.4 CRDi S Plus,2016,950000,90000,Diesel,Individual,Manual,Second Owner,7,Hyundai,Creta 1.4 CRDi S Plus,Medium
Maruti Wagon R VXI BS IV,2007,100000,60000,Petrol,Individual,Manual,Second Owner,16,Maruti,Wagon R VXI BS IV,Medium
Honda Jazz 1.5 SV i DTEC,2015,450000,76000,Diesel,Individual,Manual,First Owner,8,Honda,Jazz 1.5 SV i DTEC,Medium
Maruti 800 EX,2004,30000,60000,Petrol,Individual,Manual,Third Owner,19,Maruti,800 EX,Medium
Mahindra Renault Logan 1.6 Petrol GLSX,2009,200000,30000,Petrol,Individual,Manual,Second Owner,14,Mahindra,Renault Logan 1.6 Petrol GLSX,Low
Tata Indigo LS,2010,250000,96000,Diesel,Individual,Manual,Second Owner,13,Tata,Indigo LS,Medium
Mahindra Marazzo M8 8Str,2018,1300000,10000,Diesel,Individual,Manual,First Owner,5,Mahindra,Marazzo M8 8Str,Low
Toyota Etios Liva 1.4 VD,2017,425000,36000,Diesel,Dealer,Manual,First Owner,6,Toyota,Etios Liva 1.4 VD,Low
Honda Amaze VX O iDTEC,2017,550000,12997,Diesel,Dealer,Manual,First Owner,6,Honda,Amaze VX O iDTEC,Low
Maruti Ciaz 1.4 AT Zeta,2017,500000,40000,Petrol,Individual,Automatic,First Owner,6,Maruti,Ciaz 1.4 AT Zeta,Low
Hyundai Verna CRDi 1.6 SX Option,2018,1150000,26430,Diesel,Dealer,Manual,First Owner,5,Hyundai,Verna CRDi 1.6 SX Option,Low
Maruti Swift 1.3 VXI ABS,2015,475000,24600,Petrol,Dealer,Manual,First Owner,8,Maruti,Swift 1.3 VXI ABS,Low
Maruti Wagon R LXI,2011,260000,28481,Petrol,Dealer,Manual,First Owner,12,Maruti,Wagon R LXI,Low
Ford Ecosport 1.0 Ecoboost Titanium Optional,2013,350000,100000,Petrol,Individual,Manual,First Owner,10,Ford,Ecosport 1.0 Ecoboost Titanium Optional,Medium
Mahindra XUV500 W8 2WD,2013,750000,41988,Diesel,Dealer,Manual,First Owner,10,Mahindra,XUV500 W8 2WD,Low
Maruti Wagon R LXI,2009,180000,30375,Petrol,Dealer,Manual,First Owner,14,Maruti,Wagon R LXI,Low
Renault KWID Climber 1.0 AMT BSIV,2017,350000,7658,Petrol,Dealer,Automatic,First Owner,6,Renault,KWID Climber 1.0 AMT BSIV,Low
Maruti Swift Dzire VDI,2017,611000,34400,Diesel,Dealer,Manual,First Owner,6,Maruti,Swift Dzire VDI,Low
Renault KWID RXL BSIV,2017,325000,18500,Petrol,Dealer,Manual,First Owner,6,Renault,KWID RXL BSIV,Low
Maruti Alto VXi,2015,280000,26134,Petrol,Dealer,Manual,First Owner,8,Maruti,Alto VXi,Low
Maruti Wagon R AMT VXI,2014,300000,28942,Petrol,Dealer,Automatic,First Owner,9,Maruti,Wagon R AMT VXI,Low
Mahindra XUV500 W8 2WD,2012,711000,53600,Diesel,Dealer,Manual,First Owner,11,Mahindra,XUV500 W8 2WD,Medium
Toyota Innova 2.5 G (Diesel) 8 Seater,2015,851000,53652,Diesel,Dealer,Manual,First Owner,8,Toyota,Innova 2.5 G (Diesel) 8 Seater,Medium
Maruti Ritz VDi,2011,260000,52895,Diesel,Dealer,Manual,First Owner,12,Maruti,Ritz VDi,Medium
Hyundai Verna SX Diesel,2013,550000,42324,Diesel,Dealer,Manual,Second Owner,10,Hyundai,Verna SX Diesel,Low
Mahindra XUV500 W10 1.99 mHawk,2016,1044999,65000,Diesel,Dealer,Manual,First Owner,7,Mahindra,XUV500 W10 1.99 mHawk,Medium
Mahindra Scorpio EX,2012,550000,60236,Diesel,Dealer,Manual,First Owner,11,Mahindra,Scorpio EX,Medium
Maruti Wagon R VXI BS IV,2014,210000,70000,Petrol,Individual,Manual,Second Owner,9,Maruti,Wagon R VXI BS IV,Medium
Maruti Wagon R VXI BS IV,2014,210000,70000,Petrol,Individual,Manual,Third Owner,9,Maruti,Wagon R VXI BS IV,Medium
Mahindra Xylo E8,2009,290000,100000,Diesel,Individual,Manual,Second Owner,14,Mahindra,Xylo E8,Medium
Fiat 500 Lounge,2008,250999,110000,Diesel,Individual,Manual,First Owner,15,Fiat,500 Lounge,High
Renault Triber RXT BSIV,2019,600000,10300,Petrol,Individual,Manual,First Owner,4,Renault,Triber RXT BSIV,Low
Fiat Grande Punto EVO 1.3 Active,2014,270000,120000,Diesel,Individual,Manual,Second Owner,9,Fiat,Grande Punto EVO 1.3 Active,High
Tata New Safari 4X4 EX,2012,550000,142000,Diesel,Individual,Manual,First Owner,11,Tata,New Safari 4X4 EX,High
Mahindra TUV 300 mHAWK100 T8,2017,800000,25000,Diesel,Individual,Manual,First Owner,6,Mahindra,TUV 300 mHAWK100 T8,Low
Tata Altroz XE,2020,500000,5000,Petrol,Individual,Manual,First Owner,3,Tata,Altroz XE,Low
Hyundai Creta 1.6 CRDi SX,2016,535000,52600,Diesel,Individual,Manual,First Owner,7,Hyundai,Creta 1.6 CRDi SX,Medium
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2016,396000,28643,Petrol,Dealer,Manual,First Owner,7,Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Low
Honda City i DTEC VX,2014,600000,50000,Diesel,Individual,Manual,First Owner,9,Honda,City i DTEC VX,Low
Maruti Wagon R ZXI 1.2,2019,575000,30000,Petrol,Dealer,Manual,First Owner,4,Maruti,Wagon R ZXI 1.2,Low
Hyundai Santro Sportz BSIV,2020,520000,5000,Petrol,Individual,Manual,First Owner,3,Hyundai,Santro Sportz BSIV,Low
Mahindra XUV500 AT W10 FWD,2018,1400000,30000,Diesel,Individual,Automatic,First Owner,5,Mahindra,XUV500 AT W10 FWD,Low
Maruti Baleno Delta Automatic,2018,600000,7600,Petrol,Individual,Automatic,First Owner,5,Maruti,Baleno Delta Automatic,Low
Chevrolet Beat Diesel LS,2013,195000,47253,Diesel,Dealer,Manual,First Owner,10,Chevrolet,Beat Diesel LS,Low
Maruti Alto K10 VXI AGS,2015,281000,4432,Petrol,Dealer,Automatic,Second Owner,8,Maruti,Alto K10 VXI AGS,Low
Tata Indica GLS BS IV,2010,75000,110000,Petrol,Individual,Manual,Second Owner,13,Tata,Indica GLS BS IV,High
Hyundai Grand i10 Sportz,2014,400000,25000,Petrol,Individual,Manual,First Owner,9,Hyundai,Grand i10 Sportz,Low
Tata Indica Vista Terra 1.4 TDI,2009,93000,70000,Diesel,Individual,Manual,Second Owner,14,Tata,Indica Vista Terra 1.4 TDI,Medium
Hyundai i20 Active S Petrol,2016,560000,68523,Petrol,Dealer,Manual,First Owner,7,Hyundai,i20 Active S Petrol,Medium
Hyundai EON 1.0 Era Plus,2019,400000,5000,Petrol,Individual,Manual,First Owner,4,Hyundai,EON 1.0 Era Plus,Low
Tata Tigor 1.2 Revotron XT,2018,459999,40000,Petrol,Individual,Manual,First Owner,5,Tata,Tigor 1.2 Revotron XT,Low
Hyundai Xcent 1.2 CRDi E,2017,450000,43000,Diesel,Individual,Manual,First Owner,6,Hyundai,Xcent 1.2 CRDi E,Low
Maruti Alto Green LXi (CNG),2010,88000,80251,CNG,Dealer,Manual,Second Owner,13,Maruti,Alto Green LXi (CNG),Medium
Hyundai i20 1.2 Era,2010,250000,34500,Petrol,Individual,Manual,Second Owner,13,Hyundai,i20 1.2 Era,Low
Ford Ikon 1.4 ZXi,2000,22000,42743,Petrol,Dealer,Manual,Third Owner,23,Ford,Ikon 1.4 ZXi,Low
Chevrolet Beat Diesel LS,2013,130000,93900,Diesel,Individual,Manual,Second Owner,10,Chevrolet,Beat Diesel LS,Medium
Maruti Zen VXi - BS III,2004,79000,80000,Petrol,Individual,Manual,First Owner,19,Maruti,Zen VXi - BS III,Medium
Chevrolet Beat Diesel LS,2012,120000,110000,Diesel,Individual,Manual,First Owner,11,Chevrolet,Beat Diesel LS,High
BMW 7 Series 730Ld,2011,1700000,100000,Diesel,Individual,Automatic,Second Owner,12,BMW,7 Series 730Ld,Medium
Chevrolet Optra Magnum 2.0 LT,2012,300000,25000,Diesel,Individual,Manual,First Owner,11,Chevrolet,Optra Magnum 2.0 LT,Low
Chevrolet Optra Magnum 2.0 LT,2012,300000,25000,Diesel,Individual,Manual,First Owner,11,Chevrolet,Optra Magnum 2.0 LT,Low
Maruti A-Star Lxi,2009,145000,25000,Petrol,Individual,Manual,First Owner,14,Maruti,A-Star Lxi,Low
Ford Endeavour 3.2 Titanium AT 4X4,2019,3200000,20000,Diesel,Individual,Automatic,First Owner,4,Ford,Endeavour 3.2 Titanium AT 4X4,Low
Chevrolet Spark 1.0 LT,2013,240000,10000,Petrol,Individual,Manual,First Owner,10,Chevrolet,Spark 1.0 LT,Low
Honda WR-V i-DTEC VX,2018,700000,30000,Diesel,Individual,Manual,First Owner,5,Honda,WR-V i-DTEC VX,Low
Hyundai Accent GLX,2010,145000,110000,Petrol,Individual,Manual,Second Owner,13,Hyundai,Accent GLX,High
Maruti Ertiga VDI Limited Edition,2014,535000,80000,Diesel,Individual,Manual,Second Owner,9,Maruti,Ertiga VDI Limited Edition,Medium
Mahindra KUV 100 mFALCON G80 K2 Plus,2016,420000,21000,Petrol,Individual,Manual,First Owner,7,Mahindra,KUV 100 mFALCON G80 K2 Plus,Low
Maruti Alto K10 VXI,2016,350000,20000,Petrol,Individual,Manual,First Owner,7,Maruti,Alto K10 VXI,Low
Maruti Swift VDI BSIV,2015,550000,32000,Diesel,Individual,Manual,First Owner,8,Maruti,Swift VDI BSIV,Low
Mitsubishi Montero 3.2 MT,2007,750000,180000,Diesel,Individual,Manual,First Owner,16,Mitsubishi,Montero 3.2 MT,High
Tata Indica Vista Aqua 1.3 Quadrajet ABS BSIV,2012,198000,70000,Diesel,Individual,Manual,Second Owner,11,Tata,Indica Vista Aqua 1.3 Quadrajet ABS BSIV,Medium
Hyundai i20 Magna Optional 1.4 CRDi,2013,420000,50000,Diesel,Individual,Manual,First Owner,10,Hyundai,i20 Magna Optional 1.4 CRDi,Low
Hyundai i20 Magna Optional 1.4 CRDi,2013,420000,50000,Diesel,Individual,Manual,First Owner,10,Hyundai,i20 Magna Optional 1.4 CRDi,Low
Ford Endeavour 4x2 XLT,2004,195000,120000,Diesel,Individual,Manual,First Owner,19,Ford,Endeavour 4x2 XLT,High
Hyundai EON Sportz,2012,150000,55766,Petrol,Individual,Manual,Second Owner,11,Hyundai,EON Sportz,Medium
Nissan Micra XL,2011,275000,40000,Petrol,Individual,Manual,Second Owner,12,Nissan,Micra XL,Low
Maruti 800 Std,2001,65000,60000,Petrol,Individual,Manual,Third Owner,22,Maruti,800 Std,Medium
Maruti Swift LXi BSIV,2008,200000,50000,Petrol,Individual,Manual,First Owner,15,Maruti,Swift LXi BSIV,Low
Maruti Swift Dzire VDi,2010,250000,110000,Diesel,Individual,Manual,Second Owner,13,Maruti,Swift Dzire VDi,High
Renault Duster 85PS Diesel RxL,2013,450000,1000,Diesel,Dealer,Manual,Second Owner,10,Renault,Duster 85PS Diesel RxL,Low
Maruti Ignis 1.3 Delta,2018,590000,26350,Diesel,Dealer,Manual,First Owner,5,Maruti,Ignis 1.3 Delta,Low
Maruti SX4 Vxi BSIV,2012,225000,110000,Petrol,Individual,Manual,Second Owner,11,Maruti,SX4 Vxi BSIV,High
Tata Indigo CS LX (TDI) BS-III,2015,225000,68745,Diesel,Dealer,Manual,First Owner,8,Tata,Indigo CS LX (TDI) BS-III,Medium
Maruti Alto 800 LXI,2006,165000,132000,Petrol,Individual,Manual,First Owner,17,Maruti,Alto 800 LXI,High
Mahindra Bolero Power Plus SLX,2019,860000,35000,Diesel,Individual,Manual,First Owner,4,Mahindra,Bolero Power Plus SLX,Low
Mahindra XUV500 W6 2WD,2016,900000,47000,Diesel,Individual,Manual,First Owner,7,Mahindra,XUV500 W6 2WD,Low
Tata Indigo TDI,2013,182000,100000,Diesel,Individual,Manual,First Owner,10,Tata,Indigo TDI,Medium
Tata Indica Vista Terra 1.4 TDI,2010,100000,80000,Diesel,Individual,Manual,First Owner,13,Tata,Indica Vista Terra 1.4 TDI,Medium
Hyundai Santro Xing XL eRLX Euro III,2006,100000,40000,Petrol,Individual,Manual,Second Owner,17,Hyundai,Santro Xing XL eRLX Euro III,Low
Maruti Alto K10 VXI AGS,2017,375000,27289,Petrol,Dealer,Automatic,First Owner,6,Maruti,Alto K10 VXI AGS,Low
Tata Tiago XZA AMT,2018,525000,10980,Petrol,Dealer,Automatic,First Owner,5,Tata,Tiago XZA AMT,Low
Hyundai EON Era Plus,2016,320000,24662,Petrol,Dealer,Manual,First Owner,7,Hyundai,EON Era Plus,Low
Maruti Swift Dzire VDI,2013,525000,37000,Diesel,Dealer,Manual,First Owner,10,Maruti,Swift Dzire VDI,Low
Nissan Evalia XV,2014,650000,28245,Diesel,Dealer,Manual,First Owner,9,Nissan,Evalia XV,Low
Hyundai Grand i10 1.2 CRDi Sportz Option,2017,575000,27005,Diesel,Dealer,Manual,First Owner,6,Hyundai,Grand i10 1.2 CRDi Sportz Option,Low
Hyundai i10 Magna,2014,355000,39227,Petrol,Dealer,Manual,First Owner,9,Hyundai,i10 Magna,Low
Mahindra KUV 100 D75 K4 Plus 5Str,2016,470000,31367,Diesel,Dealer,Manual,First Owner,7,Mahindra,KUV 100 D75 K4 Plus 5Str,Low
Maruti Wagon R LXI,2008,221000,35008,Petrol,Dealer,Manual,First Owner,15,Maruti,Wagon R LXI,Low
Hyundai Santro Xing GLS,2009,195000,27005,Petrol,Dealer,Manual,First Owner,14,Hyundai,Santro Xing GLS,Low
Maruti Zen VX,2001,85000,86000,Petrol,Individual,Manual,Second Owner,22,Maruti,Zen VX,Medium
Maruti Swift VDI,2013,400000,50000,Diesel,Individual,Manual,First Owner,10,Maruti,Swift VDI,Low
Maruti Baleno Delta 1.3,2017,650000,20000,Diesel,Individual,Manual,First Owner,6,Maruti,Baleno Delta 1.3,Low
Hyundai i10 Magna 1.2,2010,400000,50000,Petrol,Individual,Manual,First Owner,13,Hyundai,i10 Magna 1.2,Low
Tata Manza Aura (ABS) Quadrajet BS IV,2012,295000,80000,Diesel,Individual,Manual,Second Owner,11,Tata,Manza Aura (ABS) Quadrajet BS IV,Medium
Maruti Omni LPG STD BSIV,2006,60000,135000,LPG,Individual,Manual,Fourth & Above Owner,17,Maruti,Omni LPG STD BSIV,High
Maruti Zen D PS,2003,110000,120000,Diesel,Individual,Manual,Third Owner,20,Maruti,Zen D PS,High
Fiat Linea 1.3 Multijet Emotion,2015,550000,113600,Diesel,Individual,Manual,First Owner,8,Fiat,Linea 1.3 Multijet Emotion,High
Hyundai Santro Xing GLS,2008,190000,70000,Petrol,Individual,Manual,Third Owner,15,Hyundai,Santro Xing GLS,Medium
Ford Aspire Titanium Plus Diesel BSIV,2018,861999,20000,Diesel,Dealer,Manual,First Owner,5,Ford,Aspire Titanium Plus Diesel BSIV,Low
Ford Aspire Titanium Plus BSIV,2018,782000,14000,Petrol,Dealer,Manual,First Owner,5,Ford,Aspire Titanium Plus BSIV,Low
Ford Freestyle Titanium Plus Diesel BSIV,2018,836000,26000,Diesel,Dealer,Manual,First Owner,5,Ford,Freestyle Titanium Plus Diesel BSIV,Low
Honda City i VTEC V,2016,696000,138925,Petrol,Dealer,Manual,First Owner,7,Honda,City i VTEC V,High
Honda Jazz 1.5 VX i DTEC,2016,596000,121764,Diesel,Dealer,Manual,First Owner,7,Honda,Jazz 1.5 VX i DTEC,High
Honda Jazz 1.2 VX i VTEC,2016,612000,105429,Petrol,Dealer,Manual,First Owner,7,Honda,Jazz 1.2 VX i VTEC,High
Maruti Alto 800 LXI,2015,114999,35000,Petrol,Individual,Manual,First Owner,8,Maruti,Alto 800 LXI,Low
Tata Bolt Quadrajet XE,2017,340000,60000,Diesel,Individual,Manual,First Owner,6,Tata,Bolt Quadrajet XE,Medium
Maruti Swift ZXI Plus,2020,550000,5000,Petrol,Individual,Manual,First Owner,3,Maruti,Swift ZXI Plus,Low
Chevrolet Aveo U-VA 1.2 LT,2008,114999,70000,Petrol,Individual,Manual,Third Owner,15,Chevrolet,Aveo U-VA 1.2 LT,Medium
Maruti Wagon R VXI,2000,105000,80000,Petrol,Individual,Manual,First Owner,23,Maruti,Wagon R VXI,Medium
Maruti Vitara Brezza ZDi,2019,890000,20000,Diesel,Individual,Manual,First Owner,4,Maruti,Vitara Brezza ZDi,Low
Tata Nexon 1.2 Revotron XZ Plus,2019,715000,8000,Petrol,Individual,Manual,First Owner,4,Tata,Nexon 1.2 Revotron XZ Plus,Low
Hyundai i20 Asta (o),2014,525000,54000,Petrol,Dealer,Manual,Second Owner,9,Hyundai,i20 Asta (o),Medium
Volkswagen Jetta 2.0L TDI Highline AT,2012,735000,55300,Diesel,Dealer,Automatic,First Owner,11,Volkswagen,Jetta 2.0L TDI Highline AT,Medium
Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner,7,Honda,Amaze S i-VTEC,Low
Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,First Owner,6,Hyundai,Creta 1.6 SX Option,Low
Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner,8,Mahindra,XUV500 W8 2WD,Medium
Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner,10,Renault,Duster 85PS Diesel RxL Optional,High
Hyundai i20 Asta 1.2,2014,475000,23122,Petrol,Dealer,Manual,Second Owner,9,Hyundai,i20 Asta 1.2,Low
Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,16,Hyundai,Santro Xing XO,Medium
Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner,10,Mahindra,Bolero 2011-2019 SLE,Medium
Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner,9,Audi,A6 2.0 TDI Premium Plus,Low
Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner,8,Fiat,Avventura MULTIJET Emotion,Medium
Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner,10,Audi,A8 4.2 TDI,Low
Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner,6,Datsun,RediGO 1.0 S,Low
Chevrolet Cruze LT,2012,349000,44500,Diesel,Dealer,Manual,Second Owner,11,Chevrolet,Cruze LT,Low
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner,10,Volkswagen,Jetta 1.4 TSI Comfortline,Low
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner,10,Audi,A4 2.0 TDI 177 Bhp Premium Plus,Medium
Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner,14,Honda,Civic 1.8 V AT,Medium
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner,5,Mercedes-Benz,E-Class Exclusive E 200 BSIV,Low
Volkswagen Polo GTI,2017,825000,13599,Petrol,Dealer,Automatic,First Owner,6,Volkswagen,Polo GTI,Low
BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,First Owner,6,BMW,X1 sDrive 20d xLine,Low
Chevrolet Beat Diesel,2012,160000,110000,Diesel,Individual,Manual,First Owner,11,Chevrolet,Beat Diesel,High
Mahindra Scorpio SLE BSIV,2014,550000,100000,Diesel,Individual,Manual,Second Owner,9,Mahindra,Scorpio SLE BSIV,Medium
Maruti Swift 1.3 VXI ABS,2006,95000,110000,Petrol,Individual,Manual,Third Owner,17,Maruti,Swift 1.3 VXI ABS,High
Toyota Innova 2.5 G (Diesel) 7 Seater,2014,725000,90000,Diesel,Individual,Manual,Second Owner,9,Toyota,Innova 2.5 G (Diesel) 7 Seater,Medium
Tata Tigor 1.2 Revotron XZ Option,2019,670000,17000,Petrol,Individual,Manual,First Owner,4,Tata,Tigor 1.2 Revotron XZ Option,Low
Maruti Alto LX,2008,65000,140000,Petrol,Individual,Manual,First Owner,15,Maruti,Alto LX,High
Mahindra Xylo D4,2015,500000,50000,Diesel,Individual,Manual,Second Owner,8,Mahindra,Xylo D4,Low
Mahindra KUV 100 mFALCON G80 K8 5str,2017,600000,53000,Petrol,Individual,Manual,First Owner,6,Mahindra,KUV 100 mFALCON G80 K8 5str,Medium
Maruti Wagon R VXI Optional,2017,350000,70000,Petrol,Individual,Manual,Second Owner,6,Maruti,Wagon R VXI Optional,Medium
Chevrolet Beat Diesel LT,2012,200000,70000,Diesel,Individual,Manual,Second Owner,11,Chevrolet,Beat Diesel LT,Medium
Hyundai Getz 1.5 CRDi GVS,2008,110000,154000,Diesel,Individual,Manual,Third Owner,15,Hyundai,Getz 1.5 CRDi GVS,High
Hyundai EON Sportz,2012,150000,80000,Petrol,Individual,Manual,First Owner,11,Hyundai,EON Sportz,Medium
Maruti Zen D PS,2003,75000,110000,Diesel,Individual,Manual,Second Owner,20,Maruti,Zen D PS,High
Honda Amaze EX i-Dtech,2013,350000,90000,Diesel,Individual,Manual,Second Owner,10,Honda,Amaze EX i-Dtech,Medium
Toyota Innova Crysta 2.4 VX MT 8S BSIV,2018,1700000,15000,Diesel,Individual,Manual,First Owner,5,Toyota,Innova Crysta 2.4 VX MT 8S BSIV,Low
BMW X1 sDrive20d,2011,890000,86000,Diesel,Individual,Automatic,Second Owner,12,BMW,X1 sDrive20d,Medium
Mahindra Scorpio M2DI,2014,500000,120000,Diesel,Individual,Manual,First Owner,9,Mahindra,Scorpio M2DI,High
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,600000,5200,Petrol,Individual,Manual,First Owner,4,Hyundai,Elite i20 Sportz Plus Dual Tone BSIV,Low
Chevrolet Beat LS,2010,99000,60000,Petrol,Individual,Manual,Second Owner,13,Chevrolet,Beat LS,Medium
Hyundai i10 Era 1.1 iTech SE,2011,235000,46000,Petrol,Individual,Manual,First Owner,12,Hyundai,i10 Era 1.1 iTech SE,Low
Tata Indigo GLX,2006,75000,40000,Petrol,Individual,Manual,Second Owner,17,Tata,Indigo GLX,Low
Honda City i DTEC VX,2014,600000,90000,Diesel,Individual,Manual,Second Owner,9,Honda,City i DTEC VX,Medium
Hyundai Verna CRDi 1.6 SX,2019,1000000,25000,Diesel,Individual,Manual,Second Owner,4,Hyundai,Verna CRDi 1.6 SX,Low
Hyundai Verna 1.6 SX,2012,390000,90000,Diesel,Individual,Manual,First Owner,11,Hyundai,Verna 1.6 SX,Medium
Volkswagen Polo 1.5 TDI Highline,2015,600000,70000,Diesel,Individual,Manual,First Owner,8,Volkswagen,Polo 1.5 TDI Highline,Medium
Hyundai i20 1.2 Spotz,2017,600000,70000,Petrol,Individual,Manual,Second Owner,6,Hyundai,i20 1.2 Spotz,Medium
Hyundai Elite i20 Magna Plus Diesel,2019,730000,35000,Diesel,Individual,Manual,Second Owner,4,Hyundai,Elite i20 Magna Plus Diesel,Low
Hyundai Grand i10 1.2 Kappa Magna AT,2017,450000,12700,Petrol,Individual,Automatic,First Owner,6,Hyundai,Grand i10 1.2 Kappa Magna AT,Low
Maruti Ritz LDi,2011,250000,80000,Diesel,Individual,Manual,First Owner,12,Maruti,Ritz LDi,Medium
Mahindra XUV500 W10 2WD,2018,1400000,20000,Diesel,Individual,Manual,First Owner,5,Mahindra,XUV500 W10 2WD,Low
Renault KWID 1.0 RXT Optional,2018,300000,20000,Petrol,Individual,Manual,First Owner,5,Renault,KWID 1.0 RXT Optional,Low
Ford EcoSport 1.5 Petrol Titanium BSIV,2017,800000,19000,Petrol,Individual,Manual,First Owner,6,Ford,EcoSport 1.5 Petrol Titanium BSIV,Low
Fiat Grande Punto Active (Diesel),2009,125000,95000,Diesel,Individual,Manual,Second Owner,14,Fiat,Grande Punto Active (Diesel),Medium
BMW X1 sDrive 20d xLine,2019,2600000,9500,Diesel,Individual,Automatic,First Owner,4,BMW,X1 sDrive 20d xLine,Low
Skoda Fabia 1.2 MPI Ambition Plus,2012,300000,50000,Petrol,Individual,Manual,First Owner,11,Skoda,Fabia 1.2 MPI Ambition Plus,Low
Volkswagen Polo Diesel Trendline 1.2L,2012,295000,90000,Diesel,Individual,Manual,First Owner,11,Volkswagen,Polo Diesel Trendline 1.2L,Medium
